id,price,name
469160,7999.00,Портативный SSD накопитель Samsung USB Type-C 2TB T7 Indigo Blue (MU-PC2T0H/WW)
644231,12989.00,SSD накопитель Samsung M.2 4TB PCIe 4.0 990EVO PLUS (MZ-V9S4T0BW)
528131,8119.00,Накопитель SSD Kingston M.2 2TB PCIe 4.0 Fury Renegade + радиатор
559226,21150.00,Портативный SSD Samsung 4TB USB 3.2 Gen 2 Type-C Shield T9 Black (MU-PG4T0B/EU)
488389,4418.00,SSD накопитель Samsung M.2 NVMe PCIe 3.0 4x 1TB 980 (MZ-V8V1T0BW)
595418,6119.00,Портативный SSD Kingston XS1000 Portable 2000GB USB 3.2 Gen 2 (SXS1000R/2000G)
610920,15527.00,SSD накопитель SAMSUNG M.2 4TB PCIe 4.0 990PRO + радиатор (MZ-V9P4T0GW)
629562,4071.00,Накопитель SSD SAMSUNG M.2 1TB PCIe 4.0 990EVO PLUS (MZ-V9S1T0BW)
471091,889.00,SSD накопитель Apacer M.2 256GB AS2280P4 NVMe PCIe 3.0 x4 2280 3D TLC (AP256GAS2280P4-1)
473201,7599.00,SSD накопитель Samsung 2TB USB 3.2 Gen 2 T7 Red (MU-PC2T0R/WW)
530477,16160.00,Портативный SSD SanDisk 4TB USB 3.2 Gen 2 Type-C E61 R1050/W1000MB/s IP55 (SDSSDE61-4T00-G25)
647830,8738.00,SSD накопитель Kingston M.2 1TB PCIe 5.0 FURY Renegade (SFYR2S/1T0)
471101,4286.00,"SSD накопитель SAMSUNG 870 QVO 1TB 2.5"" SATA V5 (9X Layer) QLC (MZ-77Q1T0BW)"
528115,5079.00,Накопитель SSD Kingston M.2 1TB PCIe 4.0 Fury Renegade + радиатор
546525,12876.00,"SSD накопитель Lenovo ThinkSystem 2.5"" S4520 960GB Read Intensive SATA 6Gb HS SSD (4XB7A17102)"
585676,5399.00,Портативный SSD накопитель SanDisk 1TB USB 3.2 Gen 2 Type-C E61 R1050/W1000MB/s IP65 Monterey (SDSSDE61-1T00-G25M)
626441,4840.00,Портативный SSD Transcend 1TB USB 3.2 Gen 2x2 Type-C ESD410C
481537,8499.00,Портативный SSD SanDisk 2TB Extreme V2 E61 Type-C (SDSSDE61-2T00-G25)
515808,13449.00,Портативный SSD Kingston XS2000 Portable 4000GB USB 3.2 Gen 2x2 IP55 (SXS2000/4000G)
542196,11643.00,"SSD накопитель LENOVO ThinkSystem 2.5"" Multi Vendor 960GB Entry SATA 6Gb Hot Swap SSD (4XB7A38273)"
558231,3462.00,"SSD накопитель SAMSUNG 2.5"" 500GB SATA 870EVO (MZ-77E500B/EU)"
469158,4999.00,Портативный SSD накопитель Samsung USB Type-C 1TB T7 Indigo Blue (MU-PC1T0H/WW)
469159,5350.00,Портативный SSD накопитель Samsung USB Type-C 1TB T7 Titan Gray (MU-PC1T0T/WW)
469161,7999.00,Портативный SSD накопитель Samsung USB Type-C 2TB T7 Titan Gray (MU-PC2T0T/WW)
487338,2571.00,SSD накопитель M.2 Samsung 980 250GB NVMe PCIe Gen 3.0 x4 2280 (MZ-V8V250BW)
504647,7339.00,SSD накопитель M.2 Kingston 2TB Fury Renegade NVMe PCIe 4.0 4x 2280 (SFYRD/2000G)
